song_id,stream_year,stream_month,stream_id,song,username
26TU2,2017,SEPTEMBER,SOBEZJB12A6D4FBA4A,White Feather,srizziz
78TKQ,2019,JANUARY,SOAXZLM12A6D4F7A95,Next Time,dtoftx
18RC9,2008,JUNE,SOXBRRT12A6D4FADBE,This Melody (Live),srizziz
9GJN7,2003,JANUARY,SOCLFNX12A8C144A03,Midnight Swim,uharroway2e
PIQIP,2004,DECEMBER,SOYZFQG12AB0180D6F,Come Over,jlehrmann2c
XG8M1,2012,JULY,SOWKNGW12A6D4F78BD,Something Girls,dgerran2d
UBUCP,2000,NOVEMBER,SOUEIEK12AAF3B50EE,One Less Bell To Answer,jfinkle2j
C0HAJ,2019,DECEMBER,SOWKPHR12A6D4FAC63,Brasas Vivas,ccoventon2
YRFQR,2015,JUNE,SONAEER12A67020459,I Can't Be Satisfied,zdayleya
XJ324,2010,AUGUST,SOUSWBE12A679AE573,Take A Look  (LP Version),ccoventon2
RIW6W,2017,MAY,SOUIJEE12A81C21173,Terslintu,kburtonwood1o
XRUC9,2011,JUNE,SOGXKOP12A58A7FA1C,Amor De Cabaret,pmcgarrie5
WS3R8,2008,SEPTEMBER,SOHUJGR12AB01806C8,You Rascal You,ztsar2h
HCOUL,2017,NOVEMBER,SOBYGMR12A8C136231,Christmas In Jamaica,gkrystofg
233OV,2014,FEBRUARY,SOPIBKO12AB0183ECD,Spooks In Space,ascowcroft1a
5P8JY,2003,SEPTEMBER,SOSUDUZ12AB017D1A1,Medicate Myself,wshellibeer1l
DHPUE,2002,JULY,SOLCIRZ12AB0182DA4,Biding Her Time,spalfriew
233OV,2006,SEPTEMBER,SOFNOOH12A8C13FD69,Spooks In Space,ahatt20
D0MF0,2017,MARCH,SOPNPLN12AC3DFA507,Orgofart,eallenf
TMSTR,2019,SEPTEMBER,SOFHDYS12AB0184708,The Emperor Falls,swaymont1d
AV18H,2003,DECEMBER,SOZFVSE12A8C13C1C7,Deep Sea Creature,cheliot1s
OUOJT,2004,NOVEMBER,SOJFWTK12A813565DC,Nashville Parthenon,sdobing1y
0Q2PJ,2022,DECEMBER,SOOBSJA12AAA8C7724,Auguri Cha Cha,bebbitt1r
APRV9,2007,AUGUST,SONBXKE12A81C209B1,Sabor Guajiro,dgerran2d
TMSTR,2014,MAY,SOQKZSN12A58A7BB72,The Emperor Falls,ascowcroft1a
ZTH8T,2010,FEBRUARY,SOIJEWM12A67ADA08D,Opus a Satana (Part 2),srizziz
OR5JV,2022,MAY,SOUAGDY12A6D4F63CF,I Think My Wife Is Running Around On Me (Taco Hell),bfarriar27
6MIVV,2008,MAY,SOXNSSY12A6D4F9728,Let's Get It Started,afiveash1i
8SEI2,2018,JANUARY,SOHZWRJ12A8C14081B,How Can You Call That Beautiful (Stewkey Vocal),afiveash1i
QIYSL,2022,JULY,SOOACXX12AB017C8E6,Drop of Rain,spalfriew
NH39Q,2008,DECEMBER,SOLGYJO12A6BD55664,Grim Prospects (Gross Prospects - Bad Trip Remix),dkilalea19
78TKQ,2012,FEBRUARY,SOUHWTC12AAF3B419A,Next Time,jlehrmann2c
1DP6M,2022,DECEMBER,SOMNYHU12A8C142FB5,Make Me Over,nlatus17
D8F88,2004,APRIL,SOPGMLA12A6D4F4BDF,Setanta Matins,mstoopc
PYN4E,2020,NOVEMBER,SOUHUYT12A67021546,Johnny Loves Me (LP Version),cwardesworth28
U6HD7,2015,AUGUST,SOJQOCV12AB0183CEA,Mangos,fscougal2l
78TKQ,2014,MARCH,SOSLDUO12A8C13F7E0,Next Time,cpalatino29
8RTWW,2000,AUGUST,SOESXET12A8C13DFA0,A Distant Voice,nbeetleso
VFOGO,2022,JULY,SONRFCO12AC3DF6AFB,Young Boy Blues,cheliot1s
NCS9S,2012,JUNE,SOXVEFH12AB0187A2C,Broken-Down Merry-Go-Round,cfarmiloey
GUHV4,2008,JANUARY,SOHCAJI12AB017EF9A,Setting Fire to Sleeping Giants,cpalatino29
YRFQR,2020,AUGUST,SOXCDGN12A8C140A48,I Can't Be Satisfied,emartinson1e
3AYSW,2006,NOVEMBER,SOJLKPC12A8C13A3A7,The Look Of Love,lbastone11
QS7P6,2008,APRIL,SOJDHGS12A6310D85E,Antifragile,npeschmann1x
YVTP7,2019,JANUARY,SOQJDZH12A67AE0CBF,Deform (live),bfarriar27
629U6,2005,JUNE,SOPNKLV12AB018B51E,I Will Love Again (JJ's Club Radio),mstoopc
FAPPT,2005,JANUARY,SOQZLAF12A8AE48030,Sohna Nee Sohna Data,slanegran8
DENWW,2006,AUGUST,SOQHUQW12AB0189F4A,Festa,wfinnie1m
NRJ5Z,2008,JUNE,SOEGFSO12AB01846B9,The Urgency (LP Version),wfirbanks1g
WGIFK,2003,JUNE,SOSCFFU12A8C134C67,Stream,zpracy1c
G2UM5,2009,JUNE,SOADTWR12A8C136DB5,Heaven is Where The Heart Is,slanegran8
64U1J,2005,APRIL,SOHESPW12AB0184D99,I Want Love (Tween You & Me) (Album Version),lcashell2o
NL577,2011,SEPTEMBER,SORSVFU12A6D4FA6DD,Crawl Before You Ball (Album Version),crubberts25
0GI7Q,2010,NOVEMBER,SOROHXN12AB018704F,Driving Home For Christmas,sdeblasiism
KUR66,2005,FEBRUARY,SOHTPZM12A6D4F8716,Lead Me Lord,gcarmont2r
2D0PG,2018,AUGUST,SOCNJIB12A58A7899B,Face the Ashes,sjosland22
XQ5HB,2011,JUNE,SOWHBYK12A6D4F7925,The Vitalized Shell,nbeetleso
QIYSL,2007,MAY,SOLMOSX12AB01878CE,Drop of Rain,ascowcroft1a
LYLJB,2002,OCTOBER,SOOIETN12A8C13E1AD,Bulgarian Dream,hdepero6
I28II,2007,APRIL,SOTQMEG12A58A7B8BC,Inside Job,cfarmiloey
ZGXQA,2017,JANUARY,SOKHOUY12A8C1358E0,Groovin' In The Midnight,abraidford4
0M4MH,2003,MAY,SOAKDOC12A8C13B1A9,Niev nietch nievitch,ahatt20
43HQW,2006,OCTOBER,SOXXWIL12AB0182D64,James (Hold The Ladder Steady),cpalatino29
XQ5HB,2009,AUGUST,SORJNBB12A8C14156E,The Vitalized Shell,hnorthfield1p
78R6N,2022,MARCH,SOWJXCF12A8C13608D,Keepin It Real (Skit),wshellibeer1l
O0H3W,2014,NOVEMBER,SOIZXEV12A8C13086A,Barking Dogs (From Piouhgd),vburburough21
2LTE7,2021,APRIL,SOYQLYM12AB018C099,Do You Finally Need A Friend,apickard18
XPDQP,2012,APRIL,SOBIZOU12AF729E8CA,(This Is Not A) Love Song (Live),slanegran8
NRJ5Z,2006,JUNE,SOXMPLR12A8C134ED0,The Urgency (LP Version),dtoftx
OBFMN,2009,OCTOBER,SOPFUID12AB018A8F9,Cooler Than You,ksciacovelli16
ERICV,2002,NOVEMBER,SOKSSEC12AF72A3D89,Taryns Deepest Fear,dpignen
629U6,2017,JUNE,SOBOCZJ12A8C13F619,I Will Love Again (JJ's Club Radio),eallenf
IDB4Q,2004,JUNE,SOSAUKQ12A8C13CEED,Still,sdobing1y
5FHVB,2015,NOVEMBER,SOGVORW12A8C13C6E5,Jogo Limpo,srizziz
ZCJ31,2000,FEBRUARY,SOSBYVZ12A6D4FBBF2,Choro,iberecloth1b
D3EY3,2000,MARCH,SODUMDU12AC468A22B,Openbare Weg,amacgovern2q
DDJ7Y,2020,NOVEMBER,SOKMICL12AC46894B9,It Makes No Difference Now,hnorthfield1p
MUH9O,2020,JUNE,SOOJNDD12A6D4F99E5,Hanging On (Medium Key Performance Track Without Background Vocals),chazart3
UBUCP,2011,JUNE,SOHYOKJ12AB018B902,One Less Bell To Answer,lbeavon1w
MANJW,2015,SEPTEMBER,SOBZGTU12AC3DFB6E8,Tonight Will Be Alright,bebbitt1r
18RC9,2022,NOVEMBER,SOBTGBJ12A8C1393AB,This Melody (Live),nbeetleso
OBFMN,2011,JUNE,SODDTOV12A6D4F9167,Cooler Than You,hnorthfield1p
V8KNX,2018,MAY,SOWSNEN12A8AE479B6,Eternamente Amame,cheliot1s
0SG0H,2022,MARCH,SOANMOG12A8C13CDFA,Amalgama,nlatus17
JL9VX,2011,JULY,SOSHOMP12A8C144BB1,Spontanous Combustion,abraidford4
XG8M1,2008,JANUARY,SOQANLU12A8C142FEF,Something Girls,mstoopc
0X7DH,2003,SEPTEMBER,SOLIQUE12A58A78306,Indian Love Call,jlehrmann2c
O0H3W,2008,APRIL,SOXEYLY12A8AE45DBD,Barking Dogs (From Piouhgd),ciacovielli14
6XY15,2011,SEPTEMBER,SOUBCNK12AB017CA1C,Kolomeyke,dmelsomd
XKQHN,2010,APRIL,SOKTNOK12A8C1340BA,My Four Reasons,ggibbyv
APPKL,2008,MAY,SOILEMF12CF530E512,Letter To Heaven,emartinson1e
MO6YC,2010,SEPTEMBER,SOHDIVC12A6D4F8DA7,Crossfire,slanegran8
K1769,2021,JUNE,SOJJAKJ12A6D4F951B,Snowball,hwoolner1f
XG8M1,2006,SEPTEMBER,SOXIQTE12AC468D65F,Something Girls,uharroway2e
OQCK0,2000,JUNE,SODWQBY12A8C13CAF3,Charisma,idanzigb
Q589T,2017,JULY,SOOLNAT12AB0185FE3,Stone Cold Fingers (Bonus Track),npeschmann1x
HRIIO,2012,SEPTEMBER,SOIRBSI12A58A7A859,Little Girl (LP Version),skeelinl
R2Y6B,2007,OCTOBER,SOVEBOC12CF530D548,¿Dónde va Chichi?,edemattia1z
W3OGE,2019,JUNE,SOSORMU12AAA15E6F2,Sudanese Dance,ecatlette2i
VZB4O,2008,JUNE,SOPLZYS12A8AE48DE6,I Can't Stop Loving You,lbittlestone12
BEJUS,2004,JUNE,SOJMZOQ12AB017ECA5,No Control,kburtonwood1o
JL9VX,2006,OCTOBER,SOPGPJM12AB0186FFA,Spontanous Combustion,sdobing1y
IFAU9,2005,JANUARY,SOALLVR12A8C138417,A'chek Ouyounik (2009 Digital Remaster),wfinnie1m
OI21N,2022,MAY,SOLIZTL12A8C13A809,Hate,afiveash1i
H7W3W,2005,JANUARY,SOLNCHC12A6D4FA7AD,Where The Thunder Roars (Tales Of Wonder Album Version),cbarfitt0
2JZ1U,2017,OCTOBER,SOPXTAX12A6D4F573B,We're Gonna Go Fishin'',ascowcroft1a
APPKL,2012,SEPTEMBER,SOBWLUW12AC468F17D,Letter To Heaven,jlehrmann2c
PYN4E,2006,JANUARY,SOWIXZS12A58A7AB35,Johnny Loves Me (LP Version),wfinnie1m
RZ0RX,2003,JUNE,SOYWICF12A8C13BDD7,Robbers Kill Cop,bcatley1u
DRVAZ,2001,AUGUST,SOUZSKM12A6D4FBFD2,Burning In The Aftermath,bfarriar27
18RC9,2017,FEBRUARY,SOXCVHC12AAFF429D7,This Melody (Live),nlatus17
XG8M1,2007,APRIL,SOIBTMP12AF729FC8F,Something Girls,srizziz
5C74A,2022,AUGUST,SOYJPUH12AF72AB2C8,Crazy Mixed Up World,pmcgarrie5
QIYSL,2018,DECEMBER,SOJHLKF12A8AE47D4C,Drop of Rain,cglentworth23
DP90J,2009,OCTOBER,SOMEWJW12A8C13F04F,Juoksuhauta-twist (El juoksuhaudoissa),nskillen24
S8CJA,2013,JULY,SOGACHN12AB0187ACA,Metal,sjosland22
V0C18,2018,FEBRUARY,SOEYVKP12AB017B847,Ciao Milan,ienriquesp
BLZUH,2010,OCTOBER,SOHKZZU12A8C1327EC,Rosemary Recalls,nrollinsonu
F2IC1,2015,JANUARY,SOCRJDM12A8C139311,Everything Changes,lgoodbarneh
233OV,2013,NOVEMBER,SOGHWUG12A6D4FB3D3,Spooks In Space,bjeal2m
NH39Q,2013,SEPTEMBER,SOXIWIH12AB018000D,Grim Prospects (Gross Prospects - Bad Trip Remix),lcashell2o
9GJN7,2022,MAY,SOBFRTX12AB018DE14,Midnight Swim,ciacovielli14
P56MZ,2002,NOVEMBER,SOWRNJI12AB018C5C6,Cheatin' In The Next Room,dgerran2d
DENWW,2011,SEPTEMBER,SOAWDUW12AB0183A26,Festa,wfirbanks1g
04LKM,2011,APRIL,SORMLXW12A58A76039,Spanish Grease,mstoopc
XPDQP,2016,MARCH,SOKZLSY12A8C1320E1,(This Is Not A) Love Song (Live),bfarriar27
QARJI,2004,MARCH,SOITORD12A6D4F79D3,Blue Taxi,slanegran8
45GZF,2003,NOVEMBER,SOMKTMJ12AB0189ACF,All Rise,groeby10
24I1L,2021,DECEMBER,SOJAWYZ12A67ADE3EC,Relax,jstiles1q
KW2F8,2002,JUNE,SOSOMWG12CF530D54E,Spin,skeelinl
UAH0Q,2005,AUGUST,SOISIPQ12AB018C2AE,Soul Deep,cgrelkat
G2UM5,2001,JANUARY,SONWZEA12A6D4F9724,Heaven is Where The Heart Is,bcatley1u
P56MZ,2008,DECEMBER,SOUXGBA12A8C14002E,Cheatin' In The Next Room,cfarmiloey
OOPDZ,2013,JANUARY,SOAGXBV12A6D4F70BD,High Tide,gswinden2a
2JZ1U,2002,JULY,SOHRBUD12A8C13A769,We're Gonna Go Fishin'',lgoodbarneh
P56MZ,2001,SEPTEMBER,SOGLABR12A6D4F9585,Cheatin' In The Next Room,nlatus17
PW6VO,2021,JANUARY,SOJUIEW12AC468957F,Gossippo Perpetuo,emartinson1e
CRU9S,2019,MAY,SOPGSMM12A8C139BF7,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),laddis1k
7PDV5,2018,JULY,SOWNJYB12AB017D17B,Naked Albino,nlatus17
CSX4M,2007,DECEMBER,SOBSOLH12A58A7E673,Certain Things We Do,sdobing1y
JVGAS,2015,SEPTEMBER,SOUIWLO12AB017CBC2,In A Subtle Way,edemattia1z
XQ5HB,2007,DECEMBER,SOJYNQE12AB0186EAB,The Vitalized Shell,ggibbyv
OR5JV,2001,SEPTEMBER,SODSOLK12AB018BB66,I Think My Wife Is Running Around On Me (Taco Hell),ahatt20
MO6YC,2019,NOVEMBER,SOXKTIB12A8C14474A,Crossfire,gswinden2a
T8EQQ,2015,OCTOBER,SOOWXMG12A8C13D0A7,Te Hacen Falta Vitaminas,cheliot1s
VA2RU,2018,OCTOBER,SOENUXD12A8C139297,Fire (Oscar G Space Vocal Mix),ecatlette2i
X1UK8,2006,FEBRUARY,SOQMIMZ12AB018B499,Le tortillard,ienriquesp
0DZ45,2002,JUNE,SOAYZDX12A8C13B9C1,End Of The Road (Head Horny's Remix),wshellibeer1l
Y9A3Z,2003,JULY,SOPAWDU12A58A7CD4D,The More I See You,staffeej
AV18H,2018,FEBRUARY,SODBFVM12AB0184A53,Deep Sea Creature,lgoodbarneh
PXG9L,2004,JULY,SOCJHME12A6D4F9867,Caught In A Dream,mlabordak
HRIIO,2017,JUNE,SOKAGKK12A58A7FE14,Little Girl (LP Version),slanegran8
VLV2E,2006,APRIL,SOFKJOV12A81C21C38,Three Is a Crowd,apickard18
JVGAS,2004,DECEMBER,SOASBOZ12AB018DC23,In A Subtle Way,castles2n
N9ZA0,2014,OCTOBER,SOJTBGX12A6D4FBA6F,Tous Les Garçons Et Les Filles,ascowcroft1a
W3MRF,2018,SEPTEMBER,SOFNXUH12A8C13F06B,I Never Came,cbarfitt0
P56MZ,2015,DECEMBER,SOTVHNP12A8C1376BF,Cheatin' In The Next Room,lbittlestone12
VFOGO,2006,JANUARY,SONJMCI12AB018B16A,Young Boy Blues,ahavelin1v
RRRZ5,2010,MARCH,SOJBGIS12AB017E349,Movement 4 [from Kiss] (Album Version),cheliot1s
9J18R,2006,JULY,SOZNZMJ12A8AE492E6,(We Don't Need This) Fascist Groove Thang,dgerran2d
6UV82,2001,JUNE,SOGALHA12A6D4FD8C3,They Say (Album),dpignen
WS3R8,2004,JANUARY,SODDXCD12A8C1339AB,You Rascal You,bsorel2k
X86YP,2002,MAY,SOATRKY12AB017FBC7,Angie (1993 Digital Remaster),srizziz
ERICV,2016,AUGUST,SORPBRR12A8C13979C,Taryns Deepest Fear,ahavelin1v
DDJ7Y,2009,AUGUST,SOWFTVP12AB0189B74,It Makes No Difference Now,nskillen24
3I7NN,2013,MAY,SONISVG12A8C13EB34,She Fell Away (2009 Digital Remaster),skeelinl
EKNQ2,2004,APRIL,SORIXFW12A58A77E7A,Monde De Fou,cheliot1s
ZDZL0,2004,JUNE,SOIJROX12AB0186787,Human Cannonball,dmelsomd
RZ0RX,2009,JULY,SOPYBNE12A8C1435C1,Robbers Kill Cop,castles2n
2LTE7,2020,NOVEMBER,SOQAJMX12A8C131F1D,Do You Finally Need A Friend,ldunbavini
5P8JY,2019,AUGUST,SOCOPFT12AB017FC06,Medicate Myself,bcatley1u
MO6YC,2020,MARCH,SOYACST12AB0182EDE,Crossfire,skeelinl
PYN4E,2012,AUGUST,SOQLLHX12AF72A3586,Johnny Loves Me (LP Version),nskillen24
5P8JY,2016,DECEMBER,SOFQHNI12AB018345A,Medicate Myself,vfursland26
NL577,2019,MARCH,SOHAJBB12A8C145F43,Crawl Before You Ball (Album Version),crubberts25
1U4ON,2014,SEPTEMBER,SOIXWTG12AB01875CC,Going Down Slow,lgoodbarneh
APRV9,2012,MAY,SOKDGEX12A6D4F6537,Sabor Guajiro,wfirbanks1g
OR5JV,2007,MARCH,SOTUHSG12A8AE474EA,I Think My Wife Is Running Around On Me (Taco Hell),dkilalea19
ZTH8T,2000,DECEMBER,SORWSBE12A58A7CA8D,Opus a Satana (Part 2),srizziz
C2NEA,2013,JULY,SOYXBLH12A8AE45E74,In This Life,nlatus17
GUHV4,2011,JULY,SOBKGSR12AB0184A57,Setting Fire to Sleeping Giants,zdayleya
MUH9O,2011,APRIL,SOMUWHH12AB0188A46,Hanging On (Medium Key Performance Track Without Background Vocals),ahavelin1v
3I7NN,2014,MARCH,SOTFQLY12A8C13AD51,She Fell Away (2009 Digital Remaster),gswinden2a
XKQHN,2006,JULY,SOGYLEI12AC4689F43,My Four Reasons,cglentworth23
DP90J,2016,NOVEMBER,SOZXZIL12AB0189931,Juoksuhauta-twist (El juoksuhaudoissa),dpignen
1HDLU,2010,NOVEMBER,SOCVPCD12AB018E260,Laws Patrolling (Album Version),hdenecamp2f
W2W31,2017,MARCH,SODPOTV12AB0187285,Stickin In My Eye,zdayleya
JVGAS,2017,MAY,SOFHNRX12AC3DF678C,In A Subtle Way,abraidford4
2V5RW,2002,MARCH,SOXLPKH12A8C13E7FC,I See The Boys Of Summer,abraidford4
BEJUS,2006,APRIL,SOTCFPV12A8C13CE08,No Control,lliellq
HCOUL,2014,DECEMBER,SOHOXPI12A81C21566,Christmas In Jamaica,cheliot1s
TMSTR,2016,SEPTEMBER,SOUHJKU12AB017DF67,The Emperor Falls,bsorel2k
C2NEA,2012,JULY,SOGOPDF12A8C1356A9,In This Life,dmelsomd
9UBLP,2022,APRIL,SOJONVF12AB01866C3,OUTE ENA EFHARISTO,npeschmann1x
0GI7Q,2011,JANUARY,SOAQVPX12AB017F938,Driving Home For Christmas,ccoventon2
XPDQP,2002,MARCH,SOIWOPZ12A8C135EBA,(This Is Not A) Love Song (Live),ldunbavini
VA2RU,2021,OCTOBER,SOXFPBO12A8C13BBBF,Fire (Oscar G Space Vocal Mix),wshellibeer1l
2JZ1U,2004,DECEMBER,SOJFJVJ12A8C139F83,We're Gonna Go Fishin'',kmatheson1h
W3OGE,2018,SEPTEMBER,SOZKXKY12AB018039F,Sudanese Dance,dmacoureks
OQCK0,2019,SEPTEMBER,SOUOQFE12A8C13C240,Charisma,ciacovielli14
2LTE7,2015,SEPTEMBER,SOQIBCH12A8C142CE5,Do You Finally Need A Friend,cfarmiloey
1HDLU,2014,MARCH,SOBYVWD12AB0185ACD,Laws Patrolling (Album Version),bsorel2k
1U4ON,2008,MARCH,SOFVXXK12A8C135404,Going Down Slow,eallenf
WSN3I,2016,APRIL,SOAWAPM12A6D4FB56A,Cowboy Ways,fmcaw7
NL577,2001,DECEMBER,SOGMOAM12AB0189876,Crawl Before You Ball (Album Version),iberecloth1b
1HDLU,2009,FEBRUARY,SOEFIPZ12AB01836DE,Laws Patrolling (Album Version),ahatt20
J8OJY,2013,SEPTEMBER,SOSLDZO12AB0186A26,Christlike Roche,bfarriar27
04LKM,2008,DECEMBER,SOLSWGZ12AB0183E38,Spanish Grease,uharroway2e
YRFQR,2005,SEPTEMBER,SOXHJSF12A8151C96E,I Can't Be Satisfied,bebbitt1r
XJ324,2000,FEBRUARY,SOFKRIR12AB017CFE4,Take A Look  (LP Version),bcatley1u
JVGAS,2005,FEBRUARY,SOFNMLB12AB0183FF8,In A Subtle Way,rdelcastello2b
H7W3W,2016,MAY,SOZFJWK12AB01852DC,Where The Thunder Roars (Tales Of Wonder Album Version),pmcgarrie5
Q589T,2005,FEBRUARY,SOXPMCW12AB017D2D6,Stone Cold Fingers (Bonus Track),sdobing1y
DGDML,2010,SEPTEMBER,SOJRKRL12AB018C221,Commercial Reign,castles2n
BLZUH,2006,FEBRUARY,SOOMSZH12AB0189A6F,Rosemary Recalls,nskillen24
U6HD7,2013,OCTOBER,SODPMFZ12A8C135E5A,Mangos,kmatheson1h
TPBNN,2007,FEBRUARY,SOOJGLP12A58A78410,Too Much Saturn,staffeej
UQ18C,2017,FEBRUARY,SOGOISU12AAF3B27B1,Drunk Alone,hnorthfield1p
1HDLU,2012,JUNE,SOOBOKE12A8C136227,Laws Patrolling (Album Version),bcatley1u
VLV2E,2011,FEBRUARY,SOUOWOU12AC3DF4CB6,Three Is a Crowd,bnoquet1n
WSN3I,2003,MAY,SODIWEO12AB018479E,Cowboy Ways,bcatley1u
WC3OP,2000,FEBRUARY,SOFZBXX12AB0181731,2190 Dias Contigo,lcashell2o
3I7NN,2019,DECEMBER,SOIXEBH12A6D4FD17E,She Fell Away (2009 Digital Remaster),uharroway2e
APPKL,2004,MARCH,SOCLDAW12A8C144BEC,Letter To Heaven,jstiles1q
PXG9L,2016,JUNE,SOFLBQJ12A8C1334BF,Caught In A Dream,spalfriew
43G57,2003,JUNE,SOAFHVT12A8C141A9F,Grim Prospects (Version 2 Remix),cbarfitt0
IFAU9,2006,NOVEMBER,SORZHJO12A8C1338F3,A'chek Ouyounik (2009 Digital Remaster),mlabordak
NH39Q,2014,MARCH,SOVKZIU12AB0180A2D,Grim Prospects (Gross Prospects - Bad Trip Remix),hnorthfield1p
45GZF,2012,JANUARY,SONJBUC12A6D4F92A2,All Rise,jstiles1q
NL577,2011,JULY,SOQGLWB12AF72A632B,Crawl Before You Ball (Album Version),edemattia1z
78TKQ,2016,MARCH,SOJXNPU12A8C13170B,Next Time,gcarmont2r
6ZAIQ,2006,JULY,SORGLXE12A8C1355FF,Simon's Folly,ggibbyv
MG9B6,2018,DECEMBER,SOOQCSS12AB0182A99,Human Being,ciacovielli14
6PAPB,2002,SEPTEMBER,SOBYWCK12A58A7C5C0,Master Of Disharmony,lcashell2o
0GI7Q,2020,OCTOBER,SOQDQTD12A8C145BE5,Driving Home For Christmas,abrayshayr
DGDML,2002,JUNE,SOAEAQO12AB0184ACE,Commercial Reign,ahatt20
24I1L,2014,MARCH,SOOPVJI12AB0183957,Relax,mlabordak
8K7JY,2006,AUGUST,SOBHMQL12A67ADE30A,Sympathy,bebbitt1r
26TU2,2011,JUNE,SOKUJAQ12A8AE46C1B,White Feather,ascowcroft1a
ZGXQA,2018,APRIL,SOQMRDA12AB018A86C,Groovin' In The Midnight,ecatlette2i
KGCM9,2016,SEPTEMBER,SOMBYVD12AB01884BE,Thank You Lord,bfarriar27
ZCJ31,2002,APRIL,SOWRMRV12A8C13E406,Choro,pmcgarrie5
RZ0RX,2001,JUNE,SODSJMD12A58A79533,Robbers Kill Cop,hdenecamp2f
MDNTE,2002,SEPTEMBER,SOFKBNW12A8C13E536,Caricia Y Herida,aabelovitz1
DRVAZ,2012,AUGUST,SOJEUHQ12A6D4FC92D,Burning In The Aftermath,bcatley1u
1DP6M,2010,AUGUST,SOMWYRR12A8C143501,Make Me Over,lhaysom9
P56MZ,2015,SEPTEMBER,SOQLNEY12B0B8062FA,Cheatin' In The Next Room,cbarfitt0
YGWPN,2006,FEBRUARY,SOTRCOC12A6D4F868C,Born and Raised In Compton,abrayshayr
S8CJA,2022,JUNE,SOGPNMB12A8C141375,Metal,dmelsomd
1DP6M,2001,JANUARY,SOLQIRG12A8AE47400,Make Me Over,bsorel2k
3XOKT,2002,APRIL,SOPHADT12A8C14245D,Silent Hill,cfarmiloey
V6S0U,2007,JUNE,SOEPOUR12A58A7839C,Wake,wshellibeer1l
BEJUS,2014,SEPTEMBER,SOOCPZM12A8C1379F0,No Control,fscougal2l
0X7DH,2010,NOVEMBER,SODLJKB12AB01871D6,Indian Love Call,kburtonwood1o
ZCJ31,2000,JANUARY,SOBHLPN12AB01822EB,Choro,gkrystofg
DHPUE,2001,SEPTEMBER,SOKHSHK12AB017BBDC,Biding Her Time,lbeavon1w
64U1J,2004,OCTOBER,SOGQNAM12A6D4F895E,I Want Love (Tween You & Me) (Album Version),nlatus17
0SG0H,2008,OCTOBER,SOGKLVR12A6BD550C7,Amalgama,kmatheson1h
78TKQ,2014,DECEMBER,SOEYQZU12AB018DDB3,Next Time,sjosland22
B4R5V,2019,AUGUST,SOXPCVS12A8AE4892F,Made Like This (Live),cwardesworth28
233OV,2020,MAY,SOOMUYV12A8C1409D7,Spooks In Space,hnorthfield1p
W3MRF,2013,JUNE,SOFVEWB12AC4689917,I Never Came,bsorel2k
78R6N,2017,JANUARY,SOXDYYS12AB0180A12,Keepin It Real (Skit),idanzigb
IDB4Q,2000,MAY,SOLSCUE12AB017D8AC,Still,nskillen24
OBFMN,2015,JUNE,SOZJZQG12AB01828BD,Cooler Than You,jlehrmann2c
FAPPT,2007,MARCH,SOLZTDM12AB01865A7,Sohna Nee Sohna Data,cglentworth23
V0C18,2019,NOVEMBER,SOSWLCT12A58A79466,Ciao Milan,amacgovern2q
APPKL,2007,JANUARY,SOTLJUL12AF72A198D,Letter To Heaven,abraidford4
APRV9,2017,SEPTEMBER,SOLHRRP12A6D4F4A3B,Sabor Guajiro,npeschmann1x
DDJ7Y,2016,OCTOBER,SOEDYLR12A8C1385E3,It Makes No Difference Now,wshellibeer1l
18RC9,2019,AUGUST,SOEEWVH12A58A78C98,This Melody (Live),uharroway2e
ZTH8T,2021,DECEMBER,SOWCGPY12AB018F709,Opus a Satana (Part 2),cglentworth23
6XY15,2009,FEBRUARY,SONWUQM12AB01821AB,Kolomeyke,dgerran2d
XPDQP,2012,DECEMBER,SOWPUQN12A6D4F8821,(This Is Not A) Love Song (Live),spalfriew
5R54M,2001,OCTOBER,SOKNKAU12A58A7A70B,Wicker Chair,ahavelin1v
0DZ45,2016,AUGUST,SORNNLK12A8C1351A6,End Of The Road (Head Horny's Remix),ecatlette2i
04LKM,2004,FEBRUARY,SOUYILL12A8C139933,Spanish Grease,hnorthfield1p
XG8M1,2020,MAY,SOOMISZ12A58A7CAF1,Something Girls,abrayshayr
PXG9L,2014,SEPTEMBER,SOPTOKV12AAF3B5233,Caught In A Dream,castles2n
H7W3W,2010,JANUARY,SOKQFBG12AB0181409,Where The Thunder Roars (Tales Of Wonder Album Version),dtoftx
H7W3W,2014,SEPTEMBER,SOSIXKT12A8C13FC8C,Where The Thunder Roars (Tales Of Wonder Album Version),dmacoureks
C5SA9,2002,DECEMBER,SOWMWMK12A6BD4F3AC,Glory Be,apickard18
MDNTE,2009,NOVEMBER,SOPLCEU12AB018795B,Caricia Y Herida,bstockau15
6ZAIQ,2014,MARCH,SORYEAW12AB0184D51,Simon's Folly,fscougal2l
1U4ON,2014,SEPTEMBER,SOEZQXE12AF72ACC54,Going Down Slow,cwardesworth28
YTV4Q,2016,MAY,SOVCFPI12AAF3B2045,Superconfidential,dmelsomd
PW6VO,2004,JANUARY,SOSKQWN12A58A7D155,Gossippo Perpetuo,bsorel2k
CSX4M,2016,APRIL,SOFAECD12AC9097B7B,Certain Things We Do,iberecloth1b
